Name,Producer,Vram_Bin,TDP_Bin
Sapphire Nitro+ Radeon RX 6600 XT,Sapphire,8GB,151-250W
Sapphire Nitro+ Radeon RX 6650 XT Gaming OC,SAPPHIRE,8GB,151-250W
Sapphire Nitro+ Radeon RX 6700 XT OC,Sapphire,12GB,251-350W
Sapphire Nitro+ Radeon RX 6750 XT Gaming OC,SAPPHIRE,12GB,251-350W
Sapphire Nitro+ Radeon RX 6800 OC,SAPPHIRE,24GB+,151-250W
Sapphire Nitro+ Radeon RX 6800 XT OC SE,SAPPHIRE,24GB+,251-350W
Sapphire Nitro+ Radeon RX 6900 XT OC,Sapphire,24GB+,251-350W
Sapphire Nitro+ Radeon RX 6900 XT Special Edition,SAPPHIRE,24GB+,251-350W
Sapphire Nitro+ Radeon RX 6950 XT Gaming OC,SAPPHIRE,24GB+,>350W
Sapphire Nitro+ Radeon RX 6950 XT Pure Gaming OC,SAPPHIRE,24GB+,>350W
Sapphire Nitro+ Radeon RX 7800 XT Gaming OC,SAPPHIRE,24GB+,251-350W
Sapphire Pulse Radeon RX 6500 XT Gaming OC,SAPPHIRE,4GB,<=150W
Sapphire Pulse Radeon RX 6600 XT,Sapphire,8GB,151-250W
Sapphire Pulse Radeon RX 6650 XT Gaming OC,SAPPHIRE,8GB,151-250W
Sapphire Pulse Radeon RX 6700,SAPPHIRE,12GB,151-250W
Sapphire Pulse Radeon RX 6700 XT,Sapphire,12GB,251-350W
Sapphire Pulse Radeon RX 6700 XT OC,SAPPHIRE,12GB,151-250W
Sapphire Pulse Radeon RX 6750 XT Gaming OC,SAPPHIRE,12GB,151-250W
Sapphire Pulse Radeon RX 6800 OC,SAPPHIRE,24GB+,251-350W
Sapphire Pulse Radeon RX 6800 XT Gaming OC,SAPPHIRE,24GB+,251-350W
Sapphire Pulse Radeon RX 7600 Gaming,SAPPHIRE,8GB,151-250W
Sapphire Pulse Radeon RX 7700 XT Gaming OC,SAPPHIRE,12GB,151-250W
Sapphire Pulse Radeon RX 7800 XT Gaming OC,SAPPHIRE,24GB+,251-350W
Sapphire Radeon RX 6800,Sapphire,24GB+,151-250W
Sapphire Toxic Radeon RX 6900 XT Air Cooled,SAPPHIRE,24GB+,
Sapphire Toxic Radeon RX 6950 XT LE Gaming OC,SAPPHIRE,24GB+,>350W
ZOTAC GAMING GeForce RTX 3050 AMP!,ZOTAC,8GB,<=150W
ZOTAC GAMING GeForce RTX 3050 Twin Edge,ZOTAC,8GB,<=150W
ZOTAC GAMING GeForce RTX 3050 Twin Edge OC,ZOTAC,8GB,<=150W
ZOTAC GAMING GeForce RTX 3060 AMP! White Edition,ZOTAC,12GB,151-250W
ZOTAC GAMING GeForce RTX 3060 Ti AMP! White Edition LHR,ZOTAC,8GB,151-250W
ZOTAC GAMING GeForce RTX 3060 Ti Twin Edge,ZOTAC,8GB,151-250W
ZOTAC GAMING GeForce RTX 3060 Ti Twin Edge LHR,ZOTAC,8GB,151-250W
ZOTAC GAMING GeForce RTX 3060 Ti Twin Edge OC,ZOTAC,8GB,151-250W
ZOTAC GAMING GeForce RTX 3060 Ti Twin Edge OC LHR,ZOTAC,8GB,151-250W
ZOTAC GAMING GeForce RTX 3060 Twin Edge,ZOTAC,12GB,151-250W
ZOTAC GAMING GeForce RTX 3060 Twin Edge OC,ZOTAC,12GB,151-250W
ZOTAC GAMING GeForce RTX 3070 AMP! Holo LHR,ZOTAC,8GB,151-250W
ZOTAC GAMING GeForce RTX 3070 Ti AMP! Extreme Holo LHR,ZOTAC,8GB,251-350W
ZOTAC GAMING GeForce RTX 3070 Ti Trinity LHR,ZOTAC,8GB,251-350W
ZOTAC GAMING GeForce RTX 3070 Ti Trinity OC LHR,ZOTAC,8GB,251-350W
ZOTAC GAMING GeForce RTX 3070 Twin Edge LHR,ZOTAC,8GB,151-250W
ZOTAC GAMING GeForce RTX 3070 Twin Edge OC LHR,ZOTAC,8GB,151-250W
ZOTAC GAMING GeForce RTX 3070 Twin Edge OC LHR White Edition,ZOTAC,8GB,151-250W
ZOTAC GAMING GeForce RTX 3080 Ti AMP! Extreme Holo,ZOTAC,12GB,>350W
ZOTAC GAMING GeForce RTX 3080 Ti AMP! Holo,ZOTAC,12GB,251-350W
ZOTAC GAMING GeForce RTX 3080 Trinity,ZOTAC,12GB,251-350W
ZOTAC GAMING GeForce RTX 3080 Trinity AMP! Holo LHR,ZOTAC,12GB,251-350W
ZOTAC GAMING GeForce RTX 3080 Trinity LHR,ZOTAC,12GB,251-350W
ZOTAC GAMING GeForce RTX 3080 Trinity OC LHR,ZOTAC,12GB,251-350W
ZOTAC GAMING GeForce RTX 3090 AMP! Extreme Holo,ZOTAC,24GB+,251-350W
ZOTAC GAMING GeForce RTX 3090 ArcticStorm,ZOTAC,24GB+,251-350W
ZOTAC GAMING GeForce RTX 3090 Ti AMP! Extreme Holo,ZOTAC,24GB+,>350W
ZOTAC GAMING GeForce RTX 3090 Trinity,ZOTAC,24GB+,251-350W
ZOTAC GAMING GeForce RTX 3090 Trinity OC,ZOTAC,24GB+,251-350W
ZOTAC Gaming GeForce RTX 4060 OC SPIDER-MAN™ Across the Spider-Verse,ZOTAC,8GB,<=150W
ZOTAC Gaming GeForce RTX 4060 Solo,ZOTAC,8GB,<=150W
ZOTAC Gaming GeForce RTX 4060 Ti Twin Edge,ZOTAC,8GB,151-250W
ZOTAC Gaming GeForce RTX 4060 Ti Twin Edge OC,ZOTAC,8GB,>350W
ZOTAC Gaming GeForce RTX 4060 Ti Twin Edge OC SPIDER-MAN™ Across the Spider-Verse,ZOTAC,8GB,151-250W
ZOTAC Gaming GeForce RTX 4060 Twin Edge OC White Edition,ZOTAC,8GB,<=150W
ZOTAC Gaming GeForce RTX 4070 AMP! Airo,ZOTAC,12GB,151-250W
ZOTAC Gaming GeForce RTX 4070 Ti AMP Extreme Airo,ZOTAC,12GB,251-350W
ZOTAC Gaming GeForce RTX 4070 Ti Trinity,ZOTAC,12GB,251-350W
ZOTAC Gaming GeForce RTX 4070 Ti Trinity OC,ZOTAC,12GB,251-350W
ZOTAC Gaming GeForce RTX 4070 Trinity,ZOTAC,12GB,151-250W
ZOTAC Gaming GeForce RTX 4070 Twin Edge OC,ZOTAC,12GB,151-250W
ZOTAC Gaming GeForce RTX 4080 AMP! Extreme Airo,ZOTAC,24GB+,251-350W
ZOTAC Gaming GeForce RTX 4080 Trinity,ZOTAC,24GB+,251-350W
ZOTAC Gaming GeForce RTX 4080 Trinity OC,ZOTAC,24GB+,251-350W
ZOTAC GAMING RTX 3070 Ti AMP! Holo,ZOTAC,8GB,251-350W
Zotac Gaming RTX 3070 Twin Edge,ZOTAC,8GB,151-250W
Zotac Gaming RTX 3070 Twin Edge OC,ZOTAC,8GB,151-250W
ZOTAC GeForce RTX 3080 Ti Trinity,ZOTAC,12GB,251-350W
ZOTAC GeForce RTX 3080 Ti Trinity OC,ZOTAC,12GB,251-350W
ASRock Arc A380 Challenger ITX,ASRock,6GB,<=150W
ASRock Radeon RX 6950 XT Phantom Gaming OC,ASRock,24GB+,251-350W
ASRock Radeon VII,ASRock,24GB+,251-350W
Asus AREZ PH RX 550 2G,ASUS,4GB,<=150W
Asus CERBERUS GTX 1050 O2G,ASUS,4GB,<=150W
Asus CERBERUS GTX 1050TI O4G,ASUS,4GB,<=150W
Asus DUAL GTX 1050 O2G,ASUS,4GB,<=150W
Asus DUAL GTX 1060 O3G,ASUS,4GB,<=150W
Asus DUAL GTX 1060 O6G,ASUS,6GB,<=150W
Asus DUAL RX 580 O4G,ASUS,4GB,151-250W
Asus DUAL RX 580 O8G,ASUS,8GB,151-250W
ASUS GeForce GT 1030,ASUS,4GB,<=150W
ASUS GeForce GT 1030 2G,ASUS,4GB,<=150W
ASUS GeForce GT 1030 Phoenix,ASUS,4GB,<=150W
ASUS GeForce GT 730,ASUS,4GB,
ASUS GeForce GTX 1050 2G,ASUS,4GB,<=150W
ASUS GeForce GTX 1050 Expedition,ASUS,4GB,<=150W
ASUS GeForce GTX 1050 Expedition O2G,ASUS,4GB,<=150W
ASUS GeForce GTX 1050 STRIX 2G Gaming,ASUS,4GB,<=150W
ASUS GeForce GTX 1050 STRIX O2G Gaming,ASUS,4GB,<=150W
ASUS GeForce GTX 1050 Ti Cerberus,ASUS,4GB,
ASUS GeForce GTX 1050 Ti DC2 O4G,ASUS,4GB,<=150W
ASUS GeForce GTX 1050 Ti Expedition,ASUS,4GB,<=150W
ASUS GeForce GTX 1050 Ti Expedition O4G,ASUS,4GB,<=150W
ASUS GeForce GTX 1050 Ti PH,ASUS,4GB,<=150W
ASUS GeForce GTX 1050 Ti STRIX 4G Gaming,ASUS,4GB,<=150W
ASUS GeForce GTX 1050 Ti STRIX O4G Gaming,ASUS,4GB,<=150W
ASUS GeForce GTX 1060 Dual 3G,ASUS,4GB,<=150W
ASUS GeForce GTX 1060 Dual O3G,ASUS,4GB,<=150W
ASUS GeForce GTX 1060 Dual O6G,ASUS,6GB,<=150W
ASUS GeForce GTX 1060 Expedition O6G,ASUS,6GB,<=150W
ASUS GeForce GTX 1060 O6G 9 Gbps,ASUS,6GB,<=150W
ASUS GeForce GTX 1060 STRIX 6G Gaming,ASUS,6GB,<=150W
ASUS GeForce GTX 1060 STRIX O6G Gaming,ASUS,6GB,<=150W
ASUS GeForce GTX 1060 Turbo 6G,ASUS,6GB,<=150W
ASUS GeForce GTX 1070 Dual 8G,ASUS,8GB,<=150W
ASUS GeForce GTX 1070 Dual O8G,ASUS,8GB,<=150W
ASUS GeForce GTX 1070 Expedition O8G,ASUS,8GB,<=150W
ASUS GeForce GTX 1070 STRIX 8G Gaming,ASUS,8GB,<=150W
ASUS GeForce GTX 1070 STRIX O8G Gaming,ASUS,8GB,<=150W
ASUS GeForce GTX 1070 Ti Cerberus A8G,ASUS,8GB,151-250W
ASUS GeForce GTX 1070 Ti STRIX 8G Gaming,ASUS,8GB,151-250W
ASUS GeForce GTX 1070 Ti STRIX A8G Gaming,ASUS,8GB,151-250W
ASUS GeForce GTX 1070 Ti Turbo 8G,ASUS,8GB,151-250W
ASUS GeForce GTX 1070 Turbo 8G,ASUS,8GB,<=150W
ASUS GeForce GTX 1080 STRIX 8G Gaming,ASUS,8GB,151-250W
ASUS GeForce GTX 1080 STRIX A8G,ASUS,8GB,151-250W
ASUS GeForce GTX 1080 STRIX O8G 11 Gbps,ASUS,8GB,151-250W
ASUS GeForce GTX 1080 STRIX O8G Gaming,ASUS,8GB,151-250W
ASUS GeForce GTX 1080 Ti Founders Edition,ASUS,12GB,151-250W
ASUS GeForce GTX 1080 Ti STRIX 11G Gaming,ASUS,12GB,151-250W
ASUS GeForce GTX 1080 Ti STRIX O11G Gaming,ASUS,12GB,151-250W
ASUS GeForce GTX 1080 Ti Turbo 11G,ASUS,12GB,151-250W
ASUS GeForce GTX 1080 Turbo 8G,ASUS,8GB,151-250W
ASUS GeForce GTX 1650,ASUS,4GB,<=150W
"ASUS GeForce GTX 1650 Dual O4G, 4096 MB GDDR5",ASUS,4GB,<=150W
ASUS GeForce GTX 1650 Phoenix,ASUS,4GB,<=150W
"ASUS GeForce GTX 1650 Phoenix O4G, 4096 MB GDDR5",ASUS,4GB,<=150W
"ASUS GeForce GTX 1650 ROG STRIX A4G, 4096 MB GDDR5",ASUS,4GB,<=150W
"ASUS GeForce GTX 1650 ROG STRIX O4G, 4096 MB GDDR5",ASUS,4GB,<=150W
ASUS GeForce GTX 1650 Super,ASUS,4GB,<=150W
ASUS GeForce GTX 1650 Super Advanced ROG Strix A,ASUS,4GB,<=150W
ASUS GeForce GTX 1650 Super Phoenix,ASUS,4GB,<=150W
ASUS GeForce GTX 1650 Super ROG Strix,ASUS,4GB,<=150W
ASUS GeForce GTX 1650 Super TUF,ASUS,4GB,<=150W
ASUS GeForce GTX 1650 Super TUF O4G Gaming,ASUS,4GB,<=150W
ASUS GeForce GTX 1650 TUF,ASUS,4GB,<=150W
ASUS GeForce GTX 1650 TUF 4GD,ASUS,4GB,<=150W
ASUS GeForce GTX 1650 TUF O4GD,ASUS,4GB,<=150W
ASUS GeForce GTX 1660 Dual 6G Evo,ASUS,6GB,<=150W
ASUS GeForce GTX 1660 Dual O6G Evo,ASUS,6GB,<=150W
ASUS GeForce GTX 1660 Phoenix,ASUS,6GB,<=150W
ASUS GeForce GTX 1660 Super Dual O6G Evo,ASUS,6GB,<=150W
ASUS GeForce GTX 1660 Super Mini,ASUS,6GB,<=150W
ASUS GeForce GTX 1660 Super Phoenix,ASUS,6GB,<=150W
ASUS GeForce GTX 1660 Super ROG Strix,ASUS,6GB,<=150W
ASUS GeForce GTX 1660 Super ROG Strix A,ASUS,6GB,<=150W
ASUS GeForce GTX 1660 Super TUF,ASUS,6GB,<=150W
ASUS GeForce GTX 1660 Super TUF O6G Gaming,ASUS,6GB,<=150W
ASUS GeForce GTX 1660 Ti Dual O6G,ASUS,6GB,<=150W
ASUS GeForce GTX 1660 Ti Phoenix O6G,ASUS,6GB,<=150W
ASUS GeForce GTX 1660 Ti ROG STRIX O6G,ASUS,6GB,<=150W
ASUS GeForce GTX 1660 Ti TUF 6G Evo,ASUS,6GB,<=150W
ASUS GeForce GTX 1660 Ti TUF O6G Evo,ASUS,6GB,<=150W
ASUS GeForce GTX 1660 TUF,ASUS,6GB,<=150W
ASUS GeForce GTX 1660 TUF X3,ASUS,6GB,<=150W
ASUS GeForce GTX 1660 TUF X3 A,ASUS,6GB,<=150W
Asus GeForce GTX 660 Ti,ASUS,4GB,<=150W
ASUS GeForce GTX 750 Ti STRIX OC,ASUS,4GB,<=150W
ASUS GeForce RTX 2060 Dual 6G EVO,ASUS,6GB,151-250W
ASUS GeForce RTX 2060 Dual A6G,ASUS,6GB,151-250W
ASUS GeForce RTX 2060 Dual A6G EVO,ASUS,6GB,151-250W
ASUS GeForce RTX 2060 Dual Mini,ASUS,6GB,151-250W
ASUS GeForce RTX 2060 Dual O6G EVO,ASUS,6GB,151-250W
ASUS GeForce RTX 2060 Phoenix 6G,ASUS,6GB,151-250W
ASUS GeForce RTX 2060 ROG STRIX 6G,ASUS,6GB,151-250W
ASUS GeForce RTX 2060 ROG Strix 6G Evo,ASUS,6GB,>350W
ASUS GeForce RTX 2060 ROG STRIX A6G,ASUS,6GB,151-250W
ASUS GeForce RTX 2060 ROG Strix A6G Evo,ASUS,6GB,>350W
ASUS GeForce RTX 2060 ROG STRIX O6G,ASUS,6GB,151-250W
ASUS GeForce RTX 2060 ROG Strix O6G Evo,ASUS,6GB,>350W
ASUS GeForce RTX 2060 Super 8G Evo V,ASUS,8GB,151-250W
ASUS GeForce RTX 2060 Super Dual 8G EVO,ASUS,8GB,151-250W
ASUS GeForce RTX 2060 Super Dual A8G EVO,ASUS,8GB,151-250W
ASUS GeForce RTX 2060 Super Dual A8G EVO V,ASUS,8GB,151-250W
ASUS GeForce RTX 2060 Super Dual O8G EVO,ASUS,8GB,151-250W
ASUS GeForce RTX 2060 Super Dual O8G EVO V,ASUS,8GB,151-250W
ASUS GeForce RTX 2060 Super ROG Strix 8G EVO,ASUS,8GB,151-250W
ASUS GeForce RTX 2060 Super ROG Strix 8G Gaming,ASUS,8GB,151-250W
ASUS GeForce RTX 2060 Super ROG Strix A8G EVO,ASUS,8GB,151-250W
ASUS GeForce RTX 2060 Super ROG Strix A8G Gaming,ASUS,8GB,151-250W
ASUS GeForce RTX 2060 Super ROG Strix O8G EVO,ASUS,8GB,151-250W
ASUS GeForce RTX 2060 Super ROG Strix O8G Gaming,ASUS,8GB,151-250W
ASUS GeForce RTX 2060 Super Turbo 8G EVO,ASUS,8GB,151-250W
ASUS GeForce RTX 2060 TUF,ASUS,6GB,151-250W
ASUS GeForce RTX 2060 Turbo 6G,ASUS,6GB,151-250W
ASUS GeForce RTX 2070 Dual 8G EVO,ASUS,8GB,151-250W
ASUS GeForce RTX 2070 Dual 8G Evo V,ASUS,8GB,151-250W
ASUS GeForce RTX 2070 Dual A8G,ASUS,8GB,151-250W
ASUS GeForce RTX 2070 Dual A8G EVO,ASUS,8GB,151-250W
ASUS GeForce RTX 2070 Dual O8G,ASUS,8GB,151-250W
ASUS GeForce RTX 2070 Dual O8G Evo V,ASUS,8GB,151-250W
ASUS GeForce RTX 2070 Mini Dual,ASUS,8GB,151-250W
ASUS GeForce RTX 2070 ROG STRIX A8G,ASUS,8GB,151-250W
ASUS GeForce RTX 2070 ROG STRIX O8G,ASUS,8GB,151-250W
ASUS GeForce RTX 2070 Super Dual 8G Evo,ASUS,8GB,251-350W
ASUS GeForce RTX 2070 Super Dual A8G Evo,ASUS,8GB,251-350W
ASUS GeForce RTX 2070 Super Dual O8G Evo,ASUS,8GB,251-350W
ASUS GeForce RTX 2070 Super ROG Strix 8G Gaming,ASUS,8GB,251-350W
ASUS GeForce RTX 2070 Super ROG Strix A8G Gaming,ASUS,8GB,251-350W
ASUS GeForce RTX 2070 Super ROG Strix O8G Gaming,ASUS,8GB,251-350W
ASUS GeForce RTX 2070 Super Turbo 8G EVO,ASUS,8GB,251-350W
ASUS GeForce RTX 2070 Turbo 8G,ASUS,8GB,151-250W
ASUS GeForce RTX 2080 Dual O8G,ASUS,8GB,151-250W
ASUS GeForce RTX 2080 ROG STRIX O8G Gaming,ASUS,8GB,151-250W
ASUS GeForce RTX 2080 Super Dual 8G Evo,ASUS,8GB,151-250W
ASUS GeForce RTX 2080 Super Dual 8G Evo V,ASUS,8GB,151-250W
ASUS GeForce RTX 2080 Super Dual O8G Evo,ASUS,8GB,151-250W
ASUS GeForce RTX 2080 Super Dual O8G Evo V,ASUS,8GB,151-250W
ASUS GeForce RTX 2080 Super ROG Strix 8G Gaming,ASUS,8GB,151-250W
ASUS GeForce RTX 2080 Super ROG Strix A8G Gaming,ASUS,8GB,151-250W
ASUS GeForce RTX 2080 Super ROG Strix O8G Gaming,ASUS,8GB,151-250W
ASUS GeForce RTX 2080 Super ROG Strix O8G White Edition,ASUS,8GB,151-250W
ASUS GeForce RTX 2080 Super Turbo 8G Evo,ASUS,8GB,151-250W
ASUS GeForce RTX 2080 Ti Dual 1,ASUS,12GB,251-350W
ASUS GeForce RTX 2080 Ti Dual A1,ASUS,12GB,151-250W
ASUS GeForce RTX 2080 Ti Dual O1,ASUS,12GB,251-350W
ASUS GeForce RTX 2080 Ti ROG Strix 1,ASUS,12GB,151-250W
ASUS GeForce RTX 2080 Ti ROG Strix A1,ASUS,12GB,251-350W
ASUS GeForce RTX 2080 Ti ROG Strix O1,ASUS,12GB,151-250W
ASUS GeForce RTX 2080 Ti ROG Strix O11G White Edition,ASUS,12GB,251-350W
ASUS GeForce RTX 2080 Ti Turbo 1,ASUS,12GB,251-350W
ASUS GeForce RTX 3060 Ti Dual Mini V2 8G LHR,ASUS,8GB,151-250W
ASUS GeForce RTX 3060 Ti TUF,ASUS,8GB,151-250W
ASUS GeForce RTX 3080 ROG Strix,ASUS,12GB,251-350W
ASUS GeForce RTX 3080 TUF,ASUS,12GB,251-350W
ASUS GeForce RTX 4060 Ti Dual,ASUS,24GB+,151-250W
ASUS GeForce RTX 4060 Ti Dual A,ASUS,24GB+,151-250W
ASUS GeForce RTX 4060 Ti ProArt,ASUS,24GB+,151-250W
ASUS GeForce RTX 4060 Ti ProArt A,ASUS,24GB+,151-250W
ASUS GeForce RTX 4060 Ti Strix,ASUS,24GB+,151-250W
ASUS GeForce RTX 4060 Ti Strix A,ASUS,24GB+,151-250W
Asus GT1030 2G CSM,ASUS,4GB,<=150W
ASUS GTX 650 Ti Boost DirectCU II OC,ASUS,4GB,<=150W
ASUS GTX 760 DirectCU II OC,ASUS,4GB,151-250W
Asus PH GT1030 O2G,ASUS,4GB,<=150W
Asus PH GTX 1050 2G,ASUS,4GB,<=150W
Asus PH GTX 1050TI 4G,ASUS,4GB,<=150W
Asus PH GTX 1060 3G,ASUS,4GB,<=150W
Asus PH GTX 1060 6G,ASUS,6GB,<=150W
Asus PH RX 550 4G M7,ASUS,4GB,<=150W
Asus R7250 1GD5 V2,ASUS,4GB,
Asus R9 270 DirectCU II,ASUS,4GB,<=150W
Asus R9 270X DirectCU II,ASUS,4GB,151-250W
ASUS Radeon RX 460 Dual O2G,ASUS,4GB,<=150W
ASUS Radeon RX 460 STRIX O4G Gaming,ASUS,4GB,<=150W
ASUS Radeon RX 480 Dual O4G,ASUS,4GB,<=150W
ASUS Radeon RX 550 4G,ASUS,4GB,<=150W
ASUS Radeon RX 5500 XT Dual O8G Evo,ASUS,8GB,<=150W
ASUS Radeon RX 5500 XT ROG Strix,ASUS,8GB,<=150W
ASUS Radeon RX 560 2G,ASUS,4GB,<=150W
ASUS Radeon RX 560 4G EVO,ASUS,4GB,<=150W
ASUS Radeon RX 560 O2G,ASUS,4GB,<=150W
ASUS Radeon RX 560 O4G EVO,ASUS,4GB,<=150W
ASUS Radeon RX 560 STRIX 4G Gaming,ASUS,4GB,<=150W
ASUS Radeon RX 560 STRIX O4G Gaming,ASUS,4GB,<=150W
ASUS Radeon RX 5600 XT ROG Strix,ASUS,6GB,151-250W
ASUS Radeon RX 5600 XT TUF O6G Evo,ASUS,6GB,151-250W
ASUS Radeon RX 570 Expedition 4G,ASUS,4GB,<=150W
ASUS Radeon RX 570 Expedition O4G,ASUS,4GB,<=150W
ASUS Radeon RX 570 STRIX 4G Gaming,ASUS,4GB,<=150W
ASUS Radeon RX 570 STRIX O4G Gaming,ASUS,4GB,<=150W
ASUS Radeon RX 5700,ASUS,8GB,151-250W
ASUS Radeon RX 5700 Dual O8G Evo,ASUS,8GB,151-250W
ASUS Radeon RX 5700 ROG Strix,ASUS,8GB,151-250W
ASUS Radeon RX 5700 TUF,ASUS,8GB,151-250W
ASUS Radeon RX 5700 XT,ASUS,8GB,151-250W
ASUS Radeon RX 5700 XT Dual OC Evo,ASUS,8GB,151-250W
ASUS Radeon RX 5700 XT ROG Strix,ASUS,8GB,151-250W
ASUS Radeon RX 5700 XT TUF,ASUS,8GB,151-250W
ASUS Radeon RX 580 Dual O4G,ASUS,4GB,151-250W
ASUS Radeon RX 580 Dual O8G,ASUS,8GB,151-250W
ASUS Radeon RX 580 STRIX 8G Gaming,ASUS,8GB,151-250W
ASUS Radeon RX 580 STRIX O8G Gaming,ASUS,8GB,151-250W
ASUS Radeon RX 580 STRIX T8G Gaming,ASUS,8GB,151-250W
ASUS Radeon RX 590 ROG STRIX 8G Gaming,ASUS,8GB,151-250W
ASUS Radeon RX 6400 Dual,ASUS,4GB,<=150W
ASUS Radeon RX 6400 Phoenix,ASUS,4GB,<=150W
ASUS Radeon RX 7600 Dual O8G V2,ASUS,8GB,151-250W
ASUS Radeon RX 7900 XT TUF,ASUS,24GB+,251-350W
ASUS Radeon RX 7900 XTX TUF,ASUS,24GB+,>350W
ASUS Radeon RX Vega 56 STRIX O8G Gaming,ASUS,8GB,151-250W
ASUS Radeon VII,ASUS,24GB+,251-350W
ASUS ROG Matrix GTX 780 Ti Platinum,ASUS,4GB,151-250W
Asus ROG POSEIDON GTX 1080TI P11G GAMING,ASUS,12GB,151-250W
Asus ROG STRIX GTX 1050TI 4G GAMING,ASUS,4GB,<=150W
Asus ROG STRIX GTX 1050TI O4G GAMING,ASUS,4GB,<=150W
Asus ROG STRIX GTX 1060 6G GAMING,ASUS,6GB,<=150W
Asus ROG STRIX GTX 1060 O6G GAMING,ASUS,6GB,<=150W
Asus ROG STRIX GTX 1070 8G GAMING,ASUS,8GB,<=150W
Asus ROG STRIX GTX 1070TI 8G GAMING,ASUS,8GB,151-250W
Asus ROG STRIX GTX 1080 8G GAMING,ASUS,8GB,151-250W
Asus ROG STRIX GTX 1080 A8G 11GBPS,ASUS,8GB,151-250W
Asus ROG STRIX GTX 1080 A8G GAMING,ASUS,8GB,151-250W
Asus ROG STRIX GTX 1080TI 11G GAMING,ASUS,12GB,151-250W
Asus ROG STRIX GTX 1080TI O11G GAMING,ASUS,12GB,151-250W
Asus ROG STRIX RX 560 O4G EVO GAMING,ASUS,4GB,<=150W
Asus ROG STRIX RX 580 8G GAMING,ASUS,8GB,151-250W
Asus RX 550 2G,ASUS,4GB,<=150W
Asus RX 560 4G,ASUS,4GB,<=150W
Asus RX 560 O2G,ASUS,4GB,<=150W
Asus RX 560 O4G,ASUS,4GB,<=150W
Asus Strix Geforce GTX 960,ASUS,4GB,<=150W
Asus Strix Geforce GTX 970,ASUS,4GB,151-250W
Asus Strix Geforce GTX 980,ASUS,4GB,251-350W
Asus Strix R9 380X,ASUS,4GB,151-250W
Asus Strix R9 390X,ASUS,8GB,251-350W
Asus Strix RX 470,ASUS,4GB,<=150W
ASUS TUF Gaming GeForce GTX 1660 Ti Evo Top Edition,ASUS,6GB,<=150W
Asus TURBO GTX 1060 6G,ASUS,6GB,<=150W
Asus TURBO GTX 1070 8G,ASUS,8GB,<=150W
Asus TURBO GTX 1070TI 8G,ASUS,8GB,151-250W
Asus TURBO GTX 1080 8G,ASUS,8GB,151-250W
Asus TURBO GTX 1080TI 11G,ASUS,12GB,151-250W
Club 3D GeForce GTS 450,Club 3D,4GB,<=150W
Club 3D R9 280 royalKing,Club 3D,4GB,151-250W
Club 3D R9 285 royalQueen,Club 3D,4GB,151-250W
EVGA GeForce GT 1030 SC,EVGA,4GB,<=150W
EVGA GeForce GTX 1050 FTW Gaming ACX 3.0,EVGA,4GB,<=150W
EVGA GeForce GTX 1050 Gaming,EVGA,4GB,<=150W
EVGA GeForce GTX 1050 SC Gaming,EVGA,4GB,<=150W
EVGA GeForce GTX 1050 SSC Gaming ACX 3.0,EVGA,4GB,<=150W
EVGA GeForce GTX 1050 Ti FTW Gaming,EVGA,4GB,<=150W
EVGA GeForce GTX 1050 Ti Gaming ACX 2.0,EVGA,4GB,<=150W
EVGA GeForce GTX 1050 Ti SC Gaming ACX 2.0,EVGA,4GB,<=150W
EVGA GeForce GTX 1050 Ti SSC Gaming ACX 3.0,EVGA,4GB,<=150W
EVGA GeForce GTX 1060,EVGA,6GB,<=150W
EVGA GeForce GTX 1060 FTW Gaming,EVGA,6GB,<=150W
EVGA GeForce GTX 1060 FTW+ Gaming ACX 3.0,EVGA,4GB,<=150W
EVGA GeForce GTX 1060 FTW+ Gaming ACX 3.0,EVGA,6GB,<=150W
EVGA GeForce GTX 1060 FTW2+ Gaming,EVGA,6GB,<=150W
EVGA GeForce GTX 1060 Gaming,EVGA,4GB,<=150W
EVGA GeForce GTX 1060 Gaming,EVGA,6GB,<=150W
EVGA GeForce GTX 1060 Gaming ACX 2.0,EVGA,4GB,<=150W
EVGA GeForce GTX 1060 Gaming ACX 3.0,EVGA,6GB,<=150W
EVGA GeForce GTX 1060 SC Gaming,EVGA,4GB,<=150W
EVGA GeForce GTX 1060 SC Gaming,EVGA,6GB,<=150W
EVGA GeForce GTX 1060 SSC DT Gaming ACX 3.0,EVGA,6GB,<=150W
EVGA GeForce GTX 1060 SSC Gaming ACX 3.0,EVGA,4GB,<=150W
EVGA GeForce GTX 1060 SSC Gaming ACX 3.0,EVGA,6GB,<=150W
EVGA GeForce GTX 1070 Founders Edition,EVGA,8GB,<=150W
EVGA GeForce GTX 1070 FTW Gaming ACX 3.0,EVGA,8GB,<=150W
EVGA GeForce GTX 1070 FTW Hybrid Gaming,EVGA,8GB,<=150W
EVGA GeForce GTX 1070 FTW2 Gaming iCX,EVGA,8GB,<=150W
EVGA GeForce GTX 1070 Gaming ACX 3.0,EVGA,8GB,<=150W
EVGA GeForce GTX 1070 Hybrid Gaming,EVGA,8GB,<=150W
EVGA GeForce GTX 1070 SC 2 Gaming iCX,EVGA,8GB,<=150W
EVGA GeForce GTX 1070 SC Gaming ACX 3.0,EVGA,8GB,<=150W
EVGA GeForce GTX 1070 SC Gaming ACX 3.0 Black Edition,EVGA,8GB,<=150W
